SETTLEMENTDATE,RRP,TOTALDEMAND
2020-01-01 00:00:00,64.76,4185.32
2020-01-01 01:00:00,64.285,4057.68
2020-01-01 02:00:00,63.84,3792.25
2020-01-01 03:00:00,61.545,3602.61
2020-01-01 04:00:00,56.035,3504.19
2020-01-01 05:00:00,52.18,3497.77
2020-01-01 06:00:00,45.879999999999995,3540.62
2020-01-01 07:00:00,35.72,3514.43
2020-01-01 08:00:00,32.144999999999996,3396.71
2020-01-01 09:00:00,13.524999999999999,3301.41
2020-01-01 10:00:00,15.184999999999999,3169.12
2020-01-01 11:00:00,28.585,3095.2
2020-01-01 12:00:00,28.244999999999997,3068.81
2020-01-01 13:00:00,30.91,3131.31
2020-01-01 14:00:00,34.195,3273.67
2020-01-01 15:00:00,37.505,3565.42
2020-01-01 16:00:00,48.724999999999994,3980.79
2020-01-01 17:00:00,55.54,4306.64
2020-01-01 18:00:00,61.59,4511.73
2020-01-01 19:00:00,70.21000000000001,4473.78
2020-01-01 20:00:00,71.74000000000001,4368.19
2020-01-01 21:00:00,66.0,4290.62
2020-01-01 22:00:00,63.614999999999995,4084.88
2020-01-01 23:00:00,64.1,4161.55
2020-01-02 00:00:00,68.765,4179.68
2020-01-02 01:00:00,57.78,3890.59
2020-01-02 02:00:00,42.135,3698.75
2020-01-02 03:00:00,48.905,3575.64
2020-01-02 04:00:00,53.13,3666.17
2020-01-02 05:00:00,67.815,3856.54
2020-01-02 06:00:00,79.495,4115.17
2020-01-02 07:00:00,70.55000000000001,4225.19
2020-01-02 08:00:00,69.775,4239.15
2020-01-02 09:00:00,67.985,4165.28
2020-01-02 10:00:00,65.39,4036.73
2020-01-02 11:00:00,61.795,3974.35
2020-01-02 12:00:00,59.075,4020.25
2020-01-02 13:00:00,71.515,4127.72
2020-01-02 14:00:00,77.315,4387.02
2020-01-02 15:00:00,78.535,4654.34
2020-01-02 16:00:00,86.485,5015.51
2020-01-02 17:00:00,83.595,5270.39
2020-01-02 18:00:00,86.88499999999999,5286.76
2020-01-02 19:00:00,83.925,5168.97
2020-01-02 20:00:00,71.97999999999999,4977.65
2020-01-02 21:00:00,55.705,4726.28
2020-01-02 22:00:00,64.48,4399.96
2020-01-02 23:00:00,71.22999999999999,4458.94
2020-01-03 00:00:00,75.175,4416.13
2020-01-03 01:00:00,51.445,4117.15
2020-01-03 02:00:00,49.305,3868.89
2020-01-03 03:00:00,47.519999999999996,3734.79
2020-01-03 04:00:00,47.085,3820.95
2020-01-03 05:00:00,43.790000000000006,3977.67
2020-01-03 06:00:00,48.239999999999995,4244.53
2020-01-03 07:00:00,44.870000000000005,4367.11
2020-01-03 08:00:00,41.405,4425.89
2020-01-03 09:00:00,44.739999999999995,4348.89
2020-01-03 10:00:00,44.015,4341.1
2020-01-03 11:00:00,55.5,4464.44
2020-01-03 12:00:00,61.755,4654.38
2020-01-03 13:00:00,68.65,4924.3
2020-01-03 14:00:00,77.495,5376.68
2020-01-03 15:00:00,67.525,5890.11
2020-01-03 16:00:00,79.41,6405.5
2020-01-03 17:00:00,80.905,6776.93
2020-01-03 18:00:00,89.445,6889.7
2020-01-03 19:00:00,92.13499999999999,6793.83
2020-01-03 20:00:00,79.35,6403.67
2020-01-03 21:00:00,74.6,5886.42
2020-01-03 22:00:00,70.53999999999999,5304.64
2020-01-03 23:00:00,67.50999999999999,4996.32
2020-01-04 00:00:00,69.89,4881.77
2020-01-04 01:00:00,54.465,4300.68
2020-01-04 02:00:00,44.97,4072.21
2020-01-04 03:00:00,45.285,3949.76
2020-01-04 04:00:00,46.81,3991.48
2020-01-04 05:00:00,43.79,4017.21
2020-01-04 06:00:00,40.66,4097.79
2020-01-04 07:00:00,32.175,4161.9
2020-01-04 08:00:00,33.21,4272.08
2020-01-04 09:00:00,35.515,4354.84
2020-01-04 10:00:00,35.565,4442.53
2020-01-04 11:00:00,32.155,4530.59
2020-01-04 12:00:00,52.11,4752.95
2020-01-04 13:00:00,52.245000000000005,4853.07
2020-01-04 14:00:00,-0.9850000000000003,4483.0
2020-01-04 15:00:00,-105.19999999999999,4093.21
2020-01-04 16:00:00,-102.965,4092.44
2020-01-04 17:00:00,6.945,4274.28
2020-01-04 18:00:00,5.77,4347.92
